#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese monster table
#
#	長くて切りどころのわからない名前は end.c の done_in_by() で
#	特別処理をしていることがあるので注意
#	（現状では ジャイアントビートル、マスターマインドフレア）
#

#
#	ants
#
giant ant:		巨大蟻
killer bee:		殺人蜂
soldier ant:		兵隊蟻
fire ant:		火蟻
giant beetle:		ジャイアントビートル
queen bee:		女王蜂
tse-tse fly:		ツェツェバエ
#
#	blobs
#
acid blob:		酸のブロッブ
quivering blob:		震えるブロッブ
gelatinous cube:	ゼラチンキューブ
#
#	cockatrice
#
chickatrice:		チカトリス
cockatrice:		コカトリス
pyrolisk:		パイロリスク
#
#	dogs and other canines
#
jackal:			ジャッカル
fox:			狐
coyote:			コヨーテ
werejackal:		ジャッカル人間
little dog:		子犬
dog:			犬
large dog:		大きな犬
dingo:			ディンゴ
wolf:			狼
werewolf:		狼人間
warg:			ワーグ
winter wolf:		冬狼
winter wolf cub:	冬狼の子
hell hound pup:		ヘルハウンドの仔
hell hound:		ヘルハウンド
Cerberus:		ケルベロス
#
#	eyes
#
gas spore:		風船胞子
floating eye:		さまよう目
freezing sphere:	凍てつく球体
flaming sphere:		炎の球体
shocking sphere:	電撃の球体
beholder:		ビホルダー
#
#	felines 
#
kitten:			子猫
housecat:		家猫
jaguar:			ジャガー
lynx:			オオヤマネコ
panther:		黒豹
large cat:		大きな猫
tiger:			虎
#
#	gremlins
#
gremlin:		グレムリン
gargoyle:		ガーゴイル
winged gargoyle:	羽のあるガーゴイル
#
#	humanoids
#
hobbit:			ホビット
dwarf:			ドワーフ
bugbear:		バグベアー
dwarf lord:		ドワーフの族長
dwarf king:		ドワーフの王
mind flayer:		マインドフレア
master mind flayer:	マスターマインドフレア
#
#	imps & other minor demons/devils
#
manes:			マーネス
homunculus:		ホムンクルス
imp:			インプ
lemure:			レムレース
quasit:			クアシト
tengu:			天狗
#
#	jellies 
#
blue jelly:		青色ゼリー
spotted jelly:		まだらゼリー
ochre jelly:		オーカーゼリー
#
#	kobolds 
#
kobold:			コボルド
large kobold:		大コボルド
kobold lord:		コボルドの族長
kobold shaman:		コボルドの呪術師
#
#	leprechauns
#
leprechaun:		レプラコーン
#
#	mimics
#
small mimic:		小さなミミック
large mimic:		大きなミミック
giant mimic:		巨大なミミック
#
#	nymphs
#
wood nymph:		木のニンフ
water nymph:		水のニンフ
mountain nymph:		山のニンフ
#
#	orcs
#
goblin:			ゴブリン
hobgoblin:		ホブゴブリン
orc:			オーク
hill orc:		丘オーク
Mordor orc:		モルドールのオーク
Uruk-hai:		ウルク・ハイ
orc shaman:		オークの呪術師
orc-captain:		オークの隊長
#
#	 piercers
#
rock piercer:		ロック・ピアサー
iron piercer:		アイアン・ピアサー
glass piercer:		ガラス・ピアサー
#
#	quadrupeds (generic)
#
rothe:			ロゼ
mumak:			ムーマク
leocrotta:		レオクロッタ
wumpus:			ワンパス
titanothere:		チタノゼア
baluchitherium:		バルキテリウム
mastodon:		マストドン
#
#	rodents 
#
sewer rat:		ドブネズミ
giant rat:		巨大ネズミ
rabid rat:		兇暴ネズミ
wererat:		ねずみ人間
rock mole:		岩もぐら
woodchuck:		リス
#
#	spiders and scorpions
#
cave spider:		洞窟グモ
centipede:		ムカデ
giant spider:		巨大グモ
scorpion:		サソリ
#
#	trappers, lurkers, &c.
#
lurker above:		ラーカー
trapper:		トラッパー
#
#	unicorns
#
white unicorn:		白ユニコーン
gray unicorn:		灰色ユニコーン
black unicorn:		黒ユニコーン
pony:			子馬
horse:			馬
warhorse:		軍馬
#
#	vortices
#
fog cloud:		霧の雲
dust vortex:		砂埃の渦
ice vortex:		氷の渦
energy vortex:		エネルギーの渦
steam vortex:		蒸気の渦
fire vortex:		炎の渦
anti-matter vortex:	反物質の渦
#
#	worms
#
baby long worm:		ロングワームの幼生
baby purple worm:	紫ワームの幼生
long worm:		ロングワーム
purple worm:		紫ワーム
#
#	Dummy monster needed for visual interface. 
#
long worm tail:		ロングワームの尻尾
kraken tentacle:	クラーケンの触手
#
#	xan, &c.
#
grid bug:		グリッドバグ
xan:			シャン
#
#	lights 
#
yellow light:		黄色い光
black light:		黒い光
#
#	zruty
#
zruty:			ズルティ
#
#	Angels and other lawful minions 
#
couatl:			コウアトル
Aleax:			アリークス
Angel:			天使
ki-rin:			麒麟
Archon:			アルコン
#
#	Bats
#
bat:			コウモリ
giant bat:		巨大コウモリ
raven:			オオガラス
vampire bat:		吸血コウモリ
#
#	Centaurs
#
plains centaur:		草原のケンタウロス
forest centaur:		森のケンタウロス
