#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	For 3.4, (c) Kentaro Shirakata 2003-2004
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table

#
#	missiles
#
)arrow:			矢
)elven arrow:		エルフの矢
)runed arrow:		ルーンの刻まれた矢
)orcish arrow:		オークの矢
)crude arrow:		粗末な矢
)crossbow bolt:		クロスボウボルト
)ya:			侍の矢
)bamboo arrow:		竹の矢
)dart:			ダーツ
)shuriken:		手裏剣
)throwing star:		星型の投擲武器
)bullet:		弾丸
)boomerang:		ブーメラン
)spear:			槍
)elven spear:		エルフの槍
)runed spear:		ルーンの刻まれた槍
)orcish spear:		オークの槍
)crude spear:		粗末な槍
)dwarvish spear:	ドワーフの槍
)stout spear:		頑丈な槍
)javelin:		ジャベリン
)throwing spear:	投げ槍
)trident:		トライデント
)lance:			ランス
)dagger:		ダガー
)elven dagger:		エルフのダガー
)runed dagger:		ルーンの刻まれたダガー
)orcish dagger:		オークのダガー
)crude dagger:		粗末なダガー
)athame:		アサメ
)scalpel:		メス
)knife:			ナイフ
)stiletto:		スティレット
)worm tooth:		ワームの歯
)crysknife:		クリスナイフ
)dwarvish mattock:	ドワーフのつるはし
)broad pick:		幅広のつるはし
)axe:			斧
)battle-axe:		バトルアックス
)double-headed axe:	両刃の斧
)short sword:		ショートソード
)elven short sword:	エルフのショートソード
)runed short sword:	ルーンの刻まれたショートソード
)orcish short sword:	オークのショートソード
)crude short sword:	粗末なショートソード
)dwarvish short sword:	ドワーフのショートソード
)broad short sword:	幅広のショートソード
)scimitar:		シミター
)curved sword:		曲刀
)saber:			サーベル
)broadsword:		ブロードソード
)elven broadsword:	エルフのブロードソード
)runed broadsword:	ルーンの刻まれたブロードソード
)long sword:		ロングソード
)two-handed sword:	両手持ちの大剣
)katana:		刀
)samurai sword:		侍の剣
)tsurugi:		大刀
)long samurai sword:	侍の長剣
)runesword:		ルーンの剣
)partisan:		パルチザン
)vulgar polearm:	両翼副刃の長槍
)ranseur:		ランサー
)hilted polearm:	十字刃の長槍
)spetum:		スペタム
)forked polearm:	三叉穂先の長槍
)glaive:		グレイブ
)single-edged polearm:	片刃の槍剣
)halberd:		ハルバード
)angled poleaxe:	斜刃の槍斧
)bardiche:		バーディック
)long poleaxe:		長刃の鉞
)voulge:		ヴォウジェ
)pole cleaver:		鉈付きの竿
)fauchard:		フォシャール
)pole sickle:		鎌付きの竿
)guisarme:		ギザルム
)pruning hook:		高枝刈り鎌
)bill-guisarme:		ビル・ギザルム
)hooked polearm:	鈎付きの長槍
)lucern hammer:		ルッツェルンハンマー
)pronged polearm:	棘付きの矛槍
)bec de corbin:		ベック・ド・コルバン
)beaked polearm:	くちばし付きの矛槍
)mace:			メイス
)morning star:		モーニングスター
)war hammer:		ウォーハンマー
)heavy hammer:		重ハンマー
)club:			棍棒
)rubber hose:		ゴムホース
)quarterstaff:		六尺棒
)staff:			棒
)aklys:			アキリス
)thonged club:		紐付のこん棒
)flail:			フレイル
)bullwhip:		鞭
#
#	bows
#
)bow:		弓
)elven bow:	エルフの弓
)runed bow:	ルーンの刻まれた弓
)orcish bow:	オークの弓
)crude bow:	粗末な弓
)yumi:		和弓
)long bow:	長弓
)sling:		スリング
)crossbow:	クロスボウ
)musket:	マスケット銃
)revolver:	リボルバー
#
